"annee" "nom_region" "code_region" "domaine_de_tension" "prod_photovoltaïque_enedis_(mwh)" "prod_eolien_enedis_(mwh)" "prod_hydraulique_enedis_(mwh)" "prod_bio_energie_enedis_(mwh)" "prod_cogeneration_enedis_(mwh)" "prod_autres_filieres_enedis_(mwh)"
"2011" "Île-De-France" "11" "HTA" 1371.02680229989 13838.0905584016 35898.722 757716.497232958 1198851.08513624 NA
"2011" "Provence-Alpes-Côte D'azur" "93" "BT <= 36 kVA" 89213.7582903243 NA NA NA NA NA
"2011" "Grand-Est" "44" "HTA" 13840.9940793128 2535555.96285244 174145.493425143 176553.313 593663.988071024 655.165
"2011" "Hauts-De-France" "32" "HTA" 3943.83135542804 2331803.42960606 2893.44965010899 321200.037 761886.05712 256.934
"2011" "Auvergne-Rhône-Alpes" "84" "HTA" 42587.5104840364 606347.898124078 978646.442423062 389710.46885156 551780.265754833 319.884990997701
"2012" "Occitanie" "76" "BT > 36 kVA" 303737.710365189 NA 12509.2096991009 1923.99592602153 NA NA
"2012" "Nouvelle-Aquitaine" "75" "BT > 36 kVA" 211676.395692661 NA 4483.40487717563 2283.10803181942 NA NA
"2013" "Occitanie" "76" "HTA" 427575.087354713 1676295.55652764 1386564.84816957 389715.261051533 202462.110332106 681.564095810699
"2013" "Bourgogne-Franche-Comté" "27" "HTA" 12918.6200083816 288054.523 286586.016903614 110833.316 189840.18587879 599.059
"2013" "Normandie" "28" "BT > 36 kVA" 25819.3254932162 254.254 1705.1267724816 15051.2371641889 NA NA
"2014" "Hauts-De-France" "32" "BT > 36 kVA" 30631.0563777879 234.947 1410.87827771805 7019.04659321162 799.771 NA
"2014" "Grand-Est" "44" "HTA" 47684.7236666667 3805801.8874612 246182.348252515 276880.349106771 414833.901911206 820.654
"2014" "Pays De La Loire" "52" "HTA" 39457.8024800218 1071174.21127128 20825.0463321112 315556.728833333 401064.453 93.648
"2014" "Île-De-France" "11" "HTA" 19037.5053333333 37832.066 52098.877 834690.802333333 933573.634833333 40.43
"2015" "Nouvelle-Aquitaine" "75" "BT <= 36 kVA" 187490.80668557 NA NA NA NA NA
"2015" "Normandie" "28" "BT > 36 kVA" 34982.8142369837 320.382 3203.1482734396 26500.5332361345 NA NA
"2015" "Bretagne" "53" "BT > 36 kVA" 76957.365018196 NA 1165.60176638994 12493.6885864891 NA NA
"2016" "Centre-Val De Loire" "24" "BT > 36 kVA" 81087.797055133 309.306 699.979429400477 11711.423 849.086 NA
"2016" "Bourgogne-Franche-Comté" "27" "HTA" 39713.188 772217.663 261541.216 123432.915 195048.592 977.01
"2016" "Normandie" "28" "BT <= 36 kVA" 53070.8594729506 23.5370393682134 NA NA NA NA
"2016" "Île-De-France" "11" "BT > 36 kVA" 13459.6780939817 28.282 NA NA 931.987404834526 NA
"2016" "Bretagne" "53" "HTA" 18518.635 1469729.292 15589.352 257433.284666667 541251.962 1474.823
"2016" "Bourgogne-Franche-Comté" "27" "BT > 36 kVA" 46921.156846567 NA 16507.472813713 26279.886 NA NA
"2016" "Occitanie" "76" "HTA" 963301.362 1929380 1261968.06664699 431239.291 176301.101 1614.955
"2017" "Île-De-France" "11" "HTA" 18453.524 127003.848 58677.045 843470.162 1046621.044 89.099
"2017" "Pays De La Loire" "52" "BT > 36 kVA" 211294.142 NA 1389.987 20682.924 507.868 NA
"2018" "Centre-Val De Loire" "24" "HTA" 43056.162 1461816.36166667 15662.0746666667 368544.1935 227511.772833333 NA
