"annee","nom_com","code_commune","nom_departement","code_departement","nom_region","code_region","domaine_de_tension","prod_photovoltaïque_enedis_(mwh)","prod_eolien_enedis_(mwh)","prod_hydraulique_enedis_(mwh)","prod_bio_energie_enedis_(mwh)","prod_cogeneration_enedis_(mwh)","prod_autres_filieres_enedis_(mwh)","nom_commune"
"2018","Besançon","25056","Doubs","25","Bourgogne-Franche-Comté","27","BT > 36 kVA",238.309371495835,NA,NA,NA,NA,NA,"Besançon (25)"
"2019","Besançon","25056","Doubs","25","Bourgogne-Franche-Comté","27","HTA",463.907166666667,NA,4241.20416666667,136.7495,1640.73116666667,NA,"Besançon (25)"
"2019","Besançon","25056","Doubs","25","Bourgogne-Franche-Comté","27","BT <= 36 kVA",869.959807580874,NA,NA,NA,NA,NA,"Besançon (25)"
"2019","Besançon","25056","Doubs","25","Bourgogne-Franche-Comté","27","BT > 36 kVA",202.730333333333,NA,NA,NA,NA,NA,"Besançon (25)"
"2016","Besançon","25056","Doubs","25","Bourgogne-Franche-Comté","27","HTA",392.958,NA,4105.114,114.678,NA,174.635,"Besançon (25)"
"2016","Besançon","25056","Doubs","25","Bourgogne-Franche-Comté","27","BT > 36 kVA",266.710279550545,NA,NA,NA,NA,NA,"Besançon (25)"
"2020","Besançon","25056","Doubs","25","Bourgogne-Franche-Comté","27","BT <= 36 kVA",952.442399245002,NA,NA,NA,NA,NA,"Besançon (25)"
"2020","Besançon","25056","Doubs","25","Bourgogne-Franche-Comté","27","BT > 36 kVA",164.559,NA,NA,NA,NA,NA,"Besançon (25)"
"2020","Besançon","25056","Doubs","25","Bourgogne-Franche-Comté","27","HTA",593.855166666667,NA,3790.52766666667,153.669166666667,861.688833333333,NA,"Besançon (25)"
"2013","Bordeaux","33063","Gironde","33","Nouvelle-Aquitaine","75","BT > 36 kVA",535.196925734602,NA,NA,NA,NA,NA,"Bordeaux (33)"
"2014","Bordeaux","33063","Gironde","33","Nouvelle-Aquitaine","75","BT <= 36 kVA",808.341018400066,NA,NA,NA,NA,NA,"Bordeaux (33)"
"2014","Bordeaux","33063","Gironde","33","Nouvelle-Aquitaine","75","HTA",14783.26,NA,NA,3800.382,12982.729,NA,"Bordeaux (33)"
"2012","Bordeaux","33063","Gironde","33","Nouvelle-Aquitaine","75","BT <= 36 kVA",519.778969254121,NA,NA,NA,NA,NA,"Bordeaux (33)"
"2012","Bordeaux","33063","Gironde","33","Nouvelle-Aquitaine","75","BT > 36 kVA",296.590407772826,NA,NA,NA,NA,NA,"Bordeaux (33)"
"2016","Bordeaux","33063","Gironde","33","Nouvelle-Aquitaine","75","BT <= 36 kVA",1086.50575707323,NA,NA,NA,NA,NA,"Bordeaux (33)"
"2016","Bordeaux","33063","Gironde","33","Nouvelle-Aquitaine","75","BT > 36 kVA",1093.7870620688,NA,NA,NA,NA,NA,"Bordeaux (33)"
"2013","Bordeaux","33063","Gironde","33","Nouvelle-Aquitaine","75","BT <= 36 kVA",632.075787009077,NA,NA,NA,NA,NA,"Bordeaux (33)"
"2013","Bordeaux","33063","Gironde","33","Nouvelle-Aquitaine","75","HTA",14475.4882384199,NA,NA,273.984955616438,15264.897,NA,"Bordeaux (33)"
